GemeentecodeGM,Regio’s,Personen,Personen met persoonlijk inkomen,Aandeel personen,Gemiddeld gestandaardiseerd inkomen,Mediaan gestandaardiseerd inkomen,Gemiddeld persoonlijk inkomen,Mediaan persoonlijk inkomen
GM1659,Laarbeek,"22,5","18,6",100,"37,1",34,"34,2","28,2"
GM1982,Land van Cuijk,"87,7","73,9",100,37,"33,7",34,"27,9"
GM0882,Landgraaf,"36,3","30,7",100,"31,9","29,8","31,3","26,1"
GM0415,Landsmeer,"11,5","9,1",100,"42,2","36,9","42,1","31,7"
GM1621,Lansingerland,"62,7","47,9",100,"42,5",38,"43,6","34,4"
GM0417,Laren (NH.),"10,9","8,5",100,"62,7","42,5","58,9","33,9"
GM0080,Leeuwarden,"121,3",100,100,31,"29,1",31,"25,5"
GM0546,Leiden,"120,8","100,2",100,"34,5","31,3","37,1",29
GM0547,Leiderdorp,"27,1","22,1",100,"38,4","35,7","39,6","31,9"
GM1916,Leidschendam-Voorburg,"74,9","60,1",100,"39,9","35,2",42,"32,5"
GM0995,Lelystad,"78,5","62,3",100,"32,9","30,4","33,1",27
GM1640,Leudal,"34,9","29,9",100,"37,1","33,9",34,"28,2"
GM0327,Leusden,"30,1","24,5",100,"40,7","36,4","39,9","32,6"
GM1705,Lingewaard,"46,2","37,9",100,"36,5","33,9",35,"28,4"
GM0553,Lisse,"22,8","18,9",100,"37,4","34,3","36,1","29,1"
GM0262,Lochem,"33,2","27,9",100,"39,6","34,3","36,5","28,4"
GM0809,Loon op Zand,"23,2","19,4",100,"36,9","33,4","34,3","28,2"
GM0331,Lopik,"14,3","11,6",100,"39,3","35,6","35,8","29,1"
GM0168,Losser,"22,3","18,5",100,"35,2","31,9","31,7","26,1"
GM0263,Maasdriel,"25,1","20,6",100,"38,9","34,2","35,7",28
GM1641,Maasgouw,23,"19,7",100,"36,4","33,5","34,7","28,3"
GM1991,Maashorst,"57,1","47,4",100,"37,1","33,6","34,2","27,8"
GM0556,Maassluis,"33,2",27,100,34,"31,6","34,3",28
GM0935,Maastricht,"110,7","94,1",100,"31,8","27,8","32,3","23,9"
GM0420,Medemblik,"44,3","36,7",100,"36,8","33,2","33,6","27,1"
GM0938,Meerssen,"18,3","15,5",100,"38,1","34,5","37,4","29,2"
GM1948,Meierijstad,"80,6",67,100,"38,1","34,1","34,9","28,4"
GM0119,Meppel,"33,6","27,5",100,"34,1","31,7","33,6","27,8"
GM0687,Middelburg (Z.),"47,7","39,2",100,"34,2","31,5","33,6","27,2"
GM1842,Midden-Delfland,"19,3","15,6",100,"42,7",38,"40,2","32,4"
GM1731,Midden-Drenthe,"32,8","27,5",100,"35,2","32,7","33,3","27,7"
GM1952,Midden-Groningen,"59,4","48,7",100,"31,5","29,2","30,7","25,1"
GM1709,Moerdijk,"36,7","30,3",100,"36,5","33,4","35,8","28,7"
GM1978,Molenlanden,"43,7","34,6",100,40,"34,7","35,9","28,5"
GM1955,Montferland,"35,5",30,100,"34,6","31,9","31,9","25,9"
GM0335,Montfoort,"13,8","11,2",100,"40,2","36,4","37,9","30,8"
GM0944,Mook en Middelaar,"7,8","6,7",100,"39,9","36,1","38,8",31
GM1740,Neder-Betuwe,"24,3","18,8",100,"36,3","32,2","33,2","26,4"
GM0946,Nederweert,"16,9","14,4",100,"38,2","33,7","33,6","27,7"
GM0356,Nieuwegein,"63,1",52,100,"34,6","32,6","35,2","29,7"
GM0569,Nieuwkoop,"28,5","23,4",100,"40,4","35,5","37,3","30,2"
GM0267,Nijkerk,"43,2","34,3",100,"37,9","34,3","35,7","28,8"
GM0268,Nijmegen,"172,4","143,5",100,32,"29,4","33,6","26,9"
GM1930,Nissewaard,"84,4","68,3",100,"34,1","32,2","35,3",29
GM1970,Noardeast-Fryslân,"44,8","35,9",100,"31,8","29,6","29,5",25
GM1695,Noord-Beveland,"7,4","6,4",100,"35,6",32,"33,5",27
GM1699,Noordenveld,"30,6","25,3",100,"36,2","32,8","34,3","27,9"
GM0171,Noordoostpolder,"46,1",37,100,"34,4","31,3","32,3","26,8"
GM0575,Noordwijk,"42,8","35,6",100,"41,3","34,9","39,3","29,5"
GM0820,"Nuenen, Gerwen en Nederwetten","23,5","19,3",100,"41,4",37,"41,7","31,6"
GM0302,Nunspeet,"27,4","21,6",100,"36,1","32,2","33,7","26,7"
GM0579,Oegstgeest,"24,6",19,100,"48,2",41,"52,1","38,6"
GM0823,Oirschot,"18,6","15,5",100,"40,8","36,4","37,3","29,7"
GM0824,Oisterwijk,"31,4","26,4",100,"42,2","36,2","38,5","29,1"
GM1895,Oldambt,"37,5","31,3",100,"30,6","28,2","29,3","23,8"
GM0269,Oldebroek,"23,4","18,4",100,"34,5","31,8","32,1",26
GM0173,Oldenzaal,"31,2","25,9",100,"34,8","31,8","32,9",27
GM1773,Olst-Wijhe,18,"14,9",100,"36,6","33,7","33,9","28,3"
GM0175,Ommen,"17,9","14,6",100,36,"32,8","33,5","27,5"
GM1586,Oost Gelre,"28,8","24,5",100,"36,6","33,5","32,7","27,8"
GM0826,Oosterhout,"55,7","45,8",100,"35,9","32,6","35,3","28,3"
GM0085,Ooststellingwerf,"24,8","20,5",100,"32,8","30,4","30,7","25,5"
GM0431,Oostzaan,"9,6","7,8",100,"39,8","35,9","38,2","30,3"
GM0432,Opmeer,"11,9",10,100,"37,4",34,"33,2","27,8"
GM0086,Opsterland,"29,1","23,7",100,"34,4","31,9","32,4","26,7"
GM0828,Oss,"91,4","75,5",100,"35,6","32,4","33,9","27,5"
GM1509,Oude IJsselstreek,"38,6","32,2",100,"33,8",31,"30,5","25,4"
GM0437,Ouder-Amstel,"13,9","11,3",100,"45,5","38,5",46,"33,3"
GM0589,Oudewater,10,"8,2",100,"40,9",36,"37,5","30,1"
GM1734,Overbetuwe,"47,5","38,3",100,"37,4","34,4","36,6","29,8"
GM0590,Papendrecht,"31,9","25,9",100,"35,7","33,2","35,9","29,2"
GM1894,Peel en Maas,"42,8","36,3",100,"36,4","33,5","32,8","27,2"
